AUD,EUR,GBP,NZD,XAU
0.75461,1.07731,1.25188,0.70912,1223.12
0.75438,1.07672,1.2524,0.70911,1222.7
0.75415,1.07612,1.25185,0.7092,1222.25
0.75433,1.07645,1.25256,0.70875,1223.29
0.75442,1.07724,1.25246,0.70909,1222.44
0.75584,1.07839,1.25539,0.70979,1224.04
0.75525,1.07738,1.25444,0.70949,1224.03
0.75554,1.07648,1.25125,0.70947,1222.48
0.75639,1.07734,1.25158,0.71004,1223.83
0.75493,1.07401,1.24882,0.70897,1218.77
0.75399,1.0716,1.2477,0.70803,1213.64
0.75431,1.07112,1.24442,0.70792,1213.11
0.75318,1.07208,1.24614,0.70787,1214.37
0.75312,1.07204,1.24547,0.70724,1213.08
0.75363,1.07244,1.24553,0.70805,1215.22
0.75383,1.07198,1.24593,0.70786,1217.58
0.75379,1.07219,1.24664,0.70837,1219.33
0.75339,1.07238,1.24712,0.70831,1219.35
0.75392,1.0744,1.24866,0.70916,1226.55
0.75317,1.07424,1.24891,0.70893,1224.88
0.75405,1.07516,1.24989,0.70926,1224.09
0.75441,1.07447,1.24936,0.70993,1222.16
0.75441,1.07417,1.24972,0.70991,1220.51
0.75422,1.07387,1.24921,0.70979,1220.81
0.75405,1.07284,1.24906,0.70982,1218.08
0.75534,1.07774,1.24806,0.7115,1225.8
0.75546,1.0783,1.24935,0.711,1227.42
0.75604,1.08018,1.24531,0.71147,1227.14
0.75617,1.08026,1.24498,0.71187,1226.06
0.75515,1.07955,1.24311,0.71111,1225.68
0.75577,1.07908,1.24328,0.71147,1224.68
0.75578,1.07968,1.24251,0.7116,1227.86
0.75547,1.07862,1.24108,0.71128,1225.42
0.75506,1.07747,1.24005,0.71063,1225.16
0.75522,1.07686,1.24044,0.71123,1225.23
0.75607,1.07736,1.243,0.71211,1226.99
0.75626,1.07713,1.24188,0.71162,1226.08
0.75608,1.07663,1.24157,0.71122,1225.31
0.75596,1.0765,1.24313,0.71065,1224.88
0.75574,1.07645,1.2425,0.71059,1225.78
0.75558,1.07504,1.24252,0.71047,1225.02
0.75271,1.07321,1.24014,0.70804,1221.42
0.75245,1.07253,1.24178,0.70776,1219.36
0.75197,1.07341,1.24143,0.70719,1222.04
0.75235,1.07246,1.23982,0.70718,1226
0.75372,1.07519,1.24834,0.70909,1230.6
0.75413,1.07518,1.24816,0.70942,1229.17
0.75394,1.07429,1.24936,0.70913,1227.33
0.75278,1.07253,1.24905,0.70851,1227.01
0.75272,1.07122,1.24663,0.70881,1226.57
0.75211,1.07121,1.24788,0.70841,1227.13
0.75271,1.07148,1.24708,0.70905,1227.87
0.75271,1.07204,1.24552,0.70906,1228.06
0.75268,1.07232,1.24618,0.70924,1227.43
0.75232,1.07199,1.24672,0.70872,1227.79
0.75175,1.07077,1.24456,0.70836,1227.23
0.74935,1.07077,1.24514,0.70657,1226.04
0.74913,1.0705,1.24419,0.70625,1225.55
0.74871,1.07056,1.24384,0.70602,1225.34
0.74632,1.0698,1.24267,0.70498,1224.88
0.7471,1.07059,1.24295,0.70525,1225.92
0.7466,1.07103,1.24378,0.70472,1225.18
0.74768,1.07021,1.246,0.70547,1226.99
0.74736,1.07019,1.24563,0.70571,1226.72
0.74733,1.06818,1.24434,0.70571,1223.98
0.74699,1.06701,1.24267,0.70525,1223.92
0.74754,1.06777,1.24417,0.70593,1225.84
0.7485,1.06948,1.24488,0.70646,1227.52
0.74941,1.07082,1.24584,0.70822,1228.12
0.74907,1.07048,1.24527,0.70816,1227.14
0.74901,1.0699,1.24445,0.70815,1227.37
0.74837,1.06869,1.24414,0.70756,1225.42
0.7478,1.06898,1.24159,0.70913,1225.8
0.7475,1.06907,1.24285,0.70911,1226.13
0.74674,1.0688,1.24223,0.70863,1225.25
0.74686,1.06969,1.24325,0.70892,1226.3
0.7464,1.07034,1.24397,0.70885,1226.87
0.74704,1.07086,1.24583,0.70961,1228.19
0.74714,1.0725,1.24691,0.70983,1229.01
0.74645,1.07157,1.24489,0.70946,1227.98
0.74751,1.07194,1.24635,0.71024,1228.87
0.74802,1.07244,1.24669,0.71027,1228.2
0.74748,1.07325,1.24828,0.70997,1228.49
0.74688,1.07256,1.24908,0.70952,1227.18
0.74702,1.07294,1.24768,0.70982,1227.81
0.74677,1.07223,1.24704,0.70904,1227.57
0.74705,1.07308,1.24669,0.70993,1231.23
0.74731,1.07272,1.24752,0.70973,1229.83
0.74711,1.07323,1.24772,0.70941,1229.73
0.74639,1.07268,1.2468,0.70915,1230.02
0.74662,1.07337,1.24759,0.70922,1229.75
0.74662,1.07339,1.24898,0.70934,1230.08
0.74629,1.07283,1.2474,0.70894,1229.12
0.74675,1.07363,1.24843,0.70897,1229.59
0.74551,1.06823,1.24353,0.70607,1223.16
0.74624,1.06909,1.24425,0.70681,1224.47
0.74668,1.07003,1.24453,0.70772,1224.54
0.74766,1.07043,1.2452,0.70802,1226.1
0.74646,1.06848,1.24393,0.70747,1224.69
0.74746,1.06926,1.24511,0.70844,1227.7
0.74669,1.0682,1.2445,0.70762,1226.28
0.74628,1.0672,1.24349,0.70703,1225.95
0.74711,1.06691,1.24325,0.70702,1226.73
0.74691,1.06739,1.24515,0.70729,1227.8
0.74569,1.06606,1.24534,0.70634,1226.09
0.74572,1.06531,1.244,0.706,1225.74
0.74202,1.06303,1.24213,0.70301,1217.25
0.74248,1.06386,1.24396,0.70333,1217.1
0.74109,1.06323,1.24233,0.7022,1214.75
0.74023,1.06272,1.24205,0.70153,1213.47
0.74109,1.06338,1.24266,0.70259,1214.79
0.7411,1.0629,1.24183,0.70284,1215.09
0.74138,1.06301,1.24205,0.7035,1214.98
0.74093,1.06234,1.24134,0.70326,1213.05
0.74103,1.06224,1.24131,0.70291,1212.8
0.7411,1.06221,1.24175,0.70292,1213.28
0.7334,1.05885,1.23453,0.70058,1208.51
0.73495,1.06304,1.23334,0.70191,1214.85
0.7344,1.0621,1.23307,0.70133,1214.01
0.73531,1.06334,1.23445,0.70186,1214.53
0.73519,1.06309,1.23324,0.70174,1214.72
0.73558,1.06251,1.23332,0.70213,1214.69
0.73597,1.06202,1.23453,0.70259,1215.7
0.73669,1.06358,1.23835,0.70361,1216.42
0.7369,1.06339,1.23833,0.70328,1216.23
0.73656,1.06348,1.23934,0.7038,1216.06
0.7367,1.06303,1.23871,0.7047,1215.5
0.73701,1.06375,1.23973,0.70469,1215.52
0.73708,1.06272,1.24015,0.70462,1214.78
0.73689,1.06358,1.24567,0.70457,1213.42
0.73779,1.06409,1.2466,0.7065,1214.34
0.73709,1.06273,1.24691,0.70671,1213.35
0.73618,1.06152,1.24602,0.70591,1213.9
0.7369,1.06329,1.24761,0.70692,1214.54
0.73557,1.06178,1.24754,0.70575,1213.26
0.73695,1.06303,1.24979,0.70694,1214.74
0.73722,1.06268,1.24922,0.70702,1214.71
0.73726,1.0627,1.2499,0.7072,1215.48
0.73677,1.062,1.24767,0.70691,1213.92
0.73629,1.06224,1.24732,0.70662,1213.82
0.73598,1.06083,1.2459,0.70599,1211.42
0.73539,1.05967,1.24632,0.70531,1211.42
0.73581,1.06052,1.2474,0.70572,1212.3
0.73634,1.0609,1.24811,0.7061,1213.89
0.7363,1.0607,1.24903,0.70599,1213.19
0.73566,1.06054,1.24762,0.70556,1212.03
0.73538,1.06015,1.24793,0.70495,1212
0.73469,1.05936,1.24662,0.70407,1209.83
0.73466,1.05976,1.24611,0.70394,1210.14
0.73499,1.0604,1.24652,0.70443,1210.75
0.73486,1.06021,1.24629,0.70397,1211.37
0.73478,1.06011,1.24637,0.70409,1211.26
0.73518,1.06062,1.24741,0.70424,1211.42
0.73607,1.06112,1.24907,0.70497,1212.05
0.73605,1.06166,1.24904,0.70526,1212.08
0.73616,1.06201,1.24954,0.70543,1211.92
0.73678,1.06287,1.24926,0.70623,1212.92
0.73717,1.06337,1.2496,0.70674,1213.33
0.73664,1.06255,1.24858,0.70589,1213.36
0.73955,1.06312,1.24926,0.70827,1217.94
0.73962,1.06304,1.24853,0.70795,1217.63
0.73943,1.06275,1.2486,0.70782,1217.38
0.73955,1.06307,1.24897,0.70735,1217.77
0.73953,1.06307,1.24899,0.70743,1217.42
0.73977,1.06279,1.24908,0.70799,1217.48
0.73941,1.06243,1.24898,0.70729,1216.73
0.74028,1.06285,1.24963,0.70815,1217.7
0.74033,1.0628,1.24948,0.70731,1218.06
0.73965,1.06295,1.24971,0.70703,1218.4
0.73917,1.06258,1.24942,0.70651,1217.49
0.73823,1.06197,1.24827,0.70592,1216.82
0.73805,1.06157,1.24815,0.70559,1215.23
0.73722,1.06098,1.24852,0.70504,1214.9
0.73765,1.06105,1.24706,0.70523,1214.64
0.73822,1.06121,1.24714,0.7054,1215.4
0.73892,1.06137,1.24745,0.70604,1215.76
0.73932,1.06211,1.24683,0.70672,1216
0.73961,1.06343,1.24874,0.70684,1217.86
0.73946,1.06341,1.24766,0.70692,1217.61
